primitive,probe,relation,coverage_state,mechanism_rationale
action_dimension_balancing,action_embedding_temporal_mix,required_active,covered,The primitive targets differential action sensitivity. Temporal action-embedding contrast preserves mean conditioning while probing whether outcome quality responds to identifiable action variation rather than a global gain.
action_dimension_balancing,action_dimension_anisotropy,candidate_successor,covered,The primitive targets differential action sensitivity. Temporal action-embedding contrast preserves mean conditioning while probing whether outcome quality responds to identifiable action variation rather than a global gain.
cfg_guidance_schedule,unmapped,unmapped,unmapped,No active-r20 primitive-probe affinity is declared.
inv_dyn_reward_finetune,action_temporal_alignment,required_active,covered,The primitive depends on temporally identifiable actions. Mean-preserving action-transition-aligned embedding contrast is the admitted local proxy for that precondition and avoids conflating event identifiability with global conditioning gain.
inv_dyn_reward_finetune,action_temporal_alignment_phase,candidate_successor,covered,The primitive depends on temporally identifiable actions. Mean-preserving action-transition-aligned embedding contrast is the admitted local proxy for that precondition and avoids conflating event identifiability with global conditioning gain.
latent_motion_prior,unmapped,unmapped,unmapped,No active-r20 primitive-probe affinity is declared.
latent_spatial_memory,unmapped,unmapped,unmapped,No active-r20 primitive-probe affinity is declared.
motion_region_reweight,motion_region_scale,required_active,covered,"Motion-region repair requires both spatially localized generated motion and temporal coupling to action-transition events. The paired paths separate generic motion sensitivity from action-aligned motion sensitivity while preserving static regions, zero-action-transition times, conditioned latents, and actions."
motion_region_reweight,motion_region_event_alignment,required_active,covered,"Motion-region repair requires both spatially localized generated motion and temporal coupling to action-transition events. The paired paths separate generic motion sensitivity from action-aligned motion sensitivity while preserving static regions, zero-action-transition times, conditioned latents, and actions."
motion_region_reweight,motion_region_event_phase_lag,candidate_successor,covered,"Motion-region repair requires both spatially localized generated motion and temporal coupling to action-transition events. The paired paths separate generic motion sensitivity from action-aligned motion sensitivity while preserving static regions, zero-action-transition times, conditioned latents, and actions."
next_forcing,multi_chunk_exposure_stability,required_missing,probe_missing,"The primitive repairs cross-chunk exposure bias, which is not identified by a single-step action-scale perturbation."
self_forcing_finetune,self_rollout_temporal_mix,required_active,covered,The primitive repairs model-state exposure bias. Immediate-predecessor temporal mixing perturbs generated history locally without conflating exposure sensitivity with global latent magnitude.
self_forcing_finetune,self_rollout_teacher_recovery,candidate_successor,covered,The primitive repairs model-state exposure bias. Immediate-predecessor temporal mixing perturbs generated history locally without conflating exposure sensitivity with global latent magnitude.
